Diagnosis,count
swelling in right leg,2
fevefr cough,2
high bp - not on medication,2
some days after a stillbirth,2
deworming done 3 months back,2
anorexia  rhinitis,2
icthing all over body,2
left sided cheek swelling,2
coughfever,2
recovered from diarrhoea,2
sibling has similar complaints,2
itching on right elbow,2
aphthous stomatitis,2
gastritis cold,2
loweback pain,2
fungal infection on palms,2
medication already started,2
worm weakness,2
pain in lumbar region,2
urticaria since 1month,2
o premenstrual syndrome,2
pain abdomen 1 month,2
weakness5,2
taeniasis over waist area,2
non healing ulcer foot,2
weakness  since 1 month,2
sore throat 4 days,2
ringworm since 3 months,2
head injury+,2
febrile llness,2
paracetamol allergy,2
wound over lt leg,2
(p,2
right shoulder pain( trauma) under evaluation,2
pain in limb+,2
bodyache weakness gas,2
o clavicle fracture,2
swelling in neck region,2
leucorrhoea - bacterial vaginosis,2
both wrist pain,2
watery eyes since 1yr,2
chr.cough,2
arthritis headache,2
chronic epistaxis,2
ringworm  fever,2
weaknesss since 2 days,2
common cold- 3 days,2
cold ( non productive),2
pain in knees[past injury],2
polyarthalgia cause,2
allergy in the elbow,2
ski. problem,2
phlegm - since 2 days,2
infections to be ruled out,2
hypothyroidism on irregular treatment,2
tingling sensation in right arm,2
high blood documented (pt has been counselled for hypertension,2
weakness  for 3 days,2
cold utricaria,2
diabetes mellitus since 2 years,2
wound on right elbow,2
left knee pain (due to injury before 4days),2
fever cough cold body,2
fever  n gas,2
chest pain following fall,2
pain in hand(trauma),2
hypertension since 4 days,2
hyrdocele,2
rt hypochondriac pain,2
umbilical discharge,2
swelling over body since 4 days,2
plantar fasicitis,2
(already under medication ),2
white patches in the face,2
tingling sensation over left hand,2
hyperpigmentation under eyes,2
skin problem gastritis weakness,2
corriza,2
o palpitation,2
pain both lower limb (due to heavy work),2
abd pain since 1 month,2
o cholelithiasis,2
infection in the scalp,2
increase frequency of urine,2
sinuistis,2
84 mm of hg,2
vitamin deficiecny,2
left ear discharge since 5 days,2
pilaris,2
leuocrrhoea,2
off 1yr,2
hand eczaema,2
pain in knee since 1 week,2
cough under evaluation allergic bronchitis,2
anaemia hb 5gm,2
ear pains,2
urti ; ringworm,2
knee pa,2
pelvic pain (post operative),2
nape of neck pain,2
in usg:-hepatomegaly,2
cold cough ear pain,2
fever cough cold sore throat,2
allergic to iron supplements,2
urti + presbyopia,2
fever back pain cough,2
tingling in finger,2
ringworm since 2 months,2
thigh numbness,2
left  shoulder pain,2
chest pain since 1 yr,2
skin infection on rt thigh since 4 days,2
chest pain 2 years,2
missed dose today,2
leuchorrhoea,2
pustular rash,2
lecourrhea,2
pain  in wrist,2
minimal cough +,2
reports review,2
itching over body (no photo),2
copd-on treatment,2
increased number of stools,2
body acha,2
pteregium,2
urticaria+weakness,2
itching of fingers,2
burning feets,2
pain back  itching,2
knees.,2
4 mth pregnancy,2
pain in  foot,2
rash all over body including private part,2
pain in  right leg,2
fungal infection since 3yr,2
pain in right hand since 1 month,2
itching genital area,2
generalised waekness - anaemia,2
foot since 3 day,2
face skin infection,2
shoulder pain [injury],2
bodyacche,2
and pain in leg,2
multiple lipomas,2
chikengunia,2
swelling due to injury,2
feve weakness,2
ringworm - since 2 month,2
onychomycosis.,2
infection in b,2
loss of appepite,2
tinea cruris - since 6 month,2
o injury 4 days],2
o loc,2
weakness ( 3 month pregnancy),2
leg pain .weakness,2
ln enlargement,2
amenorrhoea 7 months,2
csf rhinorrhea,2
amenorrhea since 7months,2
o tuberculosis present,2
high blood pressure documented ( pt has been counselled for the consequences,2
cold x 3d,2
sore throat x 2 d,2
allergy itching,2
itching all over thigh region,2
difficulty hearing,2
weakness + headache + leucorrhea,2
injury.,2
painbody n cough,2
cough since 15 days+,2
knee pain wekaness,2
hypothyroidsim,2
l ul,2
weakness mild,2
hemorrhoids- bleeding,2
pain over head,2
node in breast,2
pv-discharge-f,2
tension hedache,2
toothache since 5days,2
nodule on neck,2
leucorrhea 5yr,2
palpitations since two months,2
rebound headache,2
polyarthalgia on,2
pain abdomensince 1 month,2
cold cough body pain weakness,2
fever cough cold backache,2
breast pain - lactating,2
pain worsens on breathing in,2
myalgia+ acute sinusitis,2
amenorrhoea for 1 months,2
perianal pain,2
bodysche,2
weakness hypotension gastritis,2
lt earache,2
itching over toes,2
- weakness,2
ul numbness,2
itching over body since 5 years,2
ringworm+ gastritis,2
tingling sensations in leg,2
weakness 8d,2
lmp 10-2-24,2
submandibular region,2
knee pain varicose veins,2
pain  elbow,2
itching bodyache,2
spam,2
23yr old male  chronic gastritis,2
wound right leg,2
skin erruptions,2
pain in heel region (  exertion+),2
nasopharyngitis since 4days.,2
left sided neck pain,2
hypothyroidism - since 6 years,2
skin problem - since 4 days,2
fever cough cold chest pain,2
pain in left hand index finger,2
83,2
weekness body pain,2
ulcers mouth,2
pain back  n  leg,2
l lower limb edema,2
general weakness n cold,2
menopause since 1,2
periods delayed by,2
hypospadias,2
skin inflammation,2
body ache; fever,2
itching in right eye,2
frequent episodes of nausea (ibs). m,2
knee pain since 10-15 days,2
lmp 15,2
leg pain on medication,2
post trauma pain hand,2
skin boil,2
tingling sensation over body since 15 days,2
sweating in hand,2
headache n cough,2
pain over hand,2
weakness pain body fever,2
nutritinal deficiency,2
pain in the rt shoulder,2
diabetes type ii,2
abodomen pain,2
ear discharge pain,2
myalgia n anxiety,2
dry cough- 3 days,2
chronic gastritis.,2
back pain leg pain acidity,2
abdominal pain since one month (hypogastric region),2
wrist fracture,2
epigastric chest pain,2
41yr old lady  pain in heels,2
2 worms,2
allergic to pain killer,2
fever  back pain,2
kidney  stone,2
bloating in abdomen,2
knee pain since 3months,2
itching in eyes. no vision complaints,2
bleeding while defecation,2
polyartalgia,2
myalgia tinea,2
dm not taking medication,2
backache 2d,2
numbness leg,2
backpaqin,2
gastritis+urti,2
pain back  n  knee  weakness,2
no  chest pain,2
low grade fever since 2weeks,2
drinking alcohol,2
hypertension under medication,2
cough since last night,2
sputumx 5d,2
ear hearing loss,2
necksprain,2
white spots on back,2
back pain abdominal pain,2
chest pain no h,2
odenophagia,2
numbness sensation,2
weakness  - since few month,2
back pain  - injury,2
shortness of breath on minor activities,2
lymph node enlargement,2
chest pain for evalution,2
leucorrhoea c weakness c backache due to anemia,2
left sided back ache,2
3days. p3l3,2
high bp headache,2
rt foot itching,2
falldown,2
achalasia cardia,2
healed wound,2
back pain (hypertensive pt.),2
miconazole,2
. nutrition deficiency,2
wekaness cough,2
leg pain since 2days,2
viral fever - 3 days,2
bleed +,2
lmp 2,2
dry cough since 3 months,2
not on rx+,2
16 weeks pregnant,2
scalp acne,2
drug allergy to nsaids,2
photo shows prurigo simplex,2
generalized fatugy,2
cough (15 days ),2
low back ache ( pt. already had analgesics 7 days back.),2
burning sensation in extremities,2
rash over leg,2
weakness for 7 days,2
pain over chest,2
ringworm bodyache weakness,2
rt sacroillitis,2
cold  itching,2
weakness stomach pain,2
rt elbow pain ( h,2
pain abdomen nd weakness,2
7 days,2
pain in hip joint,2
oligomenorrhea since 4 months,2
h - 6,2
skin lesions vitiligo,2
epigastic pain,2
coughlcold,2
headache 2 day,2
infection in the legs,2
acidity since 15days,2
tina cruris,2
heavy vaginal bleeding,2
eczema feet,2
fever 3 d,2
wound over abdomen,2
weakness bodyache cough,2
hair fall - dandruff,2
107),2
diabetic mellitus type 2,2
urti constipation,2
amenorrhea - since 5 month,2
fall trauma,2
cough cold  leg pain,2
eruptive skin lesions after taking azithromycin,2
as informed by father--6yr old child has fever since 5days,2
fever -2 weeks,2
visual abnormalities,2
pain in operation site,2
low back pain radiating to right leg,2
pain  back  nleg,2
shortness of birth,2
pain in all over legs,2
pain in chest cough,2
hypopigmented,2
skin infection (chronic ),2
some discharge,2
fever cough cold apptiet,2
swelling since 2 years,2
penile infection,2
o fall 2 years back,2
knee inflammation,2
headache under evaluation acute sinusitis,2
weakness htn,2
history of cervical cancer,2
pitryasis vesicoloris,2
knee pain headache weakness,2
got relieved,2
burring micturition,2
o accidental fall 10 day back,2
liver inflammation as per the patient,2
low back pain x 3 m no trauma,2
taeniasis over neck region,2
post trauma lt knee pain,2
hypertension since 2years,2
pain inn abdomen,2
pt already on rx on another medical centre,2
calcium deficency,2
82 mmhg,2
urti since yesterday,2
fever cold cough body pain weakness,2
heel pain [plantar fascitis ],2
v c piles c weakness c backache,2
pruritus over foot,2
patient have history of htn since 3years,2
non specific body pain+allergic cough,2
low back paain,2
generalized joint pain.,2
acidity nausea,2
intermittent,2
pitriyasis alba,2
ear pain since 1 month,2
lba radiating to legs,2
ear pain [ ear problems ],2
body back pain,2
lba since 2 yrs,2
swelling in right wrist,2
refer to gynae),2
acc to usg bulky uterus,2
polymenorrhoeas,2
pitriasis versicolor,2
subfebrile,2
breathlessness mild,2
dysuria since 4months,2
htn - newly diagnosed,2
ringworm on thigh since 2 month,2
fever x 5 d,2
headache ( visual acuity ) - since 6 month,2
loose motions and. weakness,2
cold cough fveer,2
amenorrhea since 1 yr,2
left sided breast lump,2
severe menorrhagia,2
fever 2mth,2
backpain  since 2 days,2
weaknes anorexia,2
lumbago c weakness c shoulder pain,2
fever for 1 week,2
cold since 2 years,2
leg pain (lt),2
gastritis leucorrhoea,2
bodyache anorexa,2
gastritis since 2 months,2
nasopharyngitis since 15days,2
postoperative complications,2
abd.discomfort,2
abscess in groin,2
chest pain - lateral chest wall,2
hypertension chest pain,2
left knee pain [injury ],2
prophylaxis for leucorrhoea in wife,2
pain in lower rib cage,2
cold since 20 days,2
hb%--12.5gm%,2
rt.leg pain (h,2
pain in knee since 3days,2
fever coug,2
lmp 25 dec,2
m---wnl,2
pelvis,2
likoriya back pain',2
fbs--106,2
pt is case of hypotension,2
knee pain 6 month,2
wrist pain post fracture,2
right hand pain( trauma),2
loose motion  pain  abdomen,2
lump in leg,2
headache   lba  weakness,2
backache - since 5 years,2
sever headache under evaluation,2
a),2
bckpain knee pain,2
headahce for evaluation,2
injury in arm,2
skin lesion impetigo(informant-mother),2
itching on wrist,2
swelling on both legs,2
myalgia n swelling over body,2
right shoulder soft tissue injury,2
tines capitis,2
urine complaints.,2
small rash,2
numbness in ll,2
low back pain x 3 m,2
viral infn,2
itching on body since 1 month,2
ear problem weakness,2
musculoskeletal pain in right knee,2
oligomenorrhea pcod,2
scabies lba,2
weakness  since 5 days,2
persistent cough since one year,2
mild free fluid in pod,2
tingling sensation shoulder,2
gaseous shadow.,2
low bakc ache (  exertion+),2
burn over hand,2
1 infected scabies,2
no other co-morbidities,2
enlarged liver,2
injury on forearm,2
food poison,2
back pain due to trauma,2
low bp - since 1 week,2
allergy.,2
itching    allergy,2
backache (trauma),2
wet cough 8 days,2
irritable bowel syndromw,2
dl 1week back,2
wound on toes,2
ppbs---142.,2
backache since 3 months,2
2 m amenorrhea,2
great toe wound,2
dmt2 (not on any rx - no documents available),2
hypertrophied lichen planus,2
tingling senasation in limbs,2
eye pain since 2 month,2
join pain since 3 days,2
upper respiratory tract infection c weakness c earache,2
toothache 15days,2
weakness followed by fever,2
ski. infection,2
sensitivity+,2
pain abdomen - gastritis,2
fever n vomiting,2
age 40,2
l knee pain- 3 months,2
itching 1mth scabies,2
menstrual disorder,2
myalgia  [ weakness],2
haemmorhoid,2
ear issue,2
fever weakness pain,2
diabetes not on regular treatment,2
skin itching all over body since 2 days,2
loss.of appetite,2
ringworm  body pain,2
weakness creak heel,2
right chest.,2
pain abdomen above umbilicus,2
cough low bp,2
photosensitive skin,2
cough since so long,2
headache -on off,2
lumbago c headache c weakness,2
knee pain  for,2
cough since 3yrs,2
hyperpigmentation over facial region under evaluation,2
infection in eye,2
feer,2
mild diarrhoea,2
allergic exzema,2
leucorrhoea  for 3 months,2
body pa8n,2
renal calculus b,2
chest pain low bp,2
gastritis since 3 months,2
cold cough x 2 m,2
hypothyrodism,2
o fall - 5 days back,2
ringworm over face,2
eyelid swelling,2
cardiac issues to be ruled out,2
pedal edema b,2
mild gastritis,2
itching over the right elbow,2
sprain neck,2
hypertension patient already on medication,2
boday itching,2
gastroebnteritis,2
cataracts,2
15d,2
whitish patches in face,2
segmental alopecia,2
diacharge,2
now relieved,2
leucorrhewa,2
fever cough cold 2 days,2
loweer back pain,2
low back ache leg cramps,2
120,2
giddiness since 3 days,2
fissures in foot,2
anaemia according to pt,2
shortness of breath on climbing stairs,2
calcum deficiency,2
knee pain stomachache weakness,2
chest pain since 6 month,2
left wrist swelling,2
using prescribed glasses,2
viral prodrome 5d (cough,2
doing well,2
ring worm headache gastritis,2
fungal keratitis,2
hypertension since 2 month,2
leucorrhoea x6month,2
case done,2
7yr old child  pain in the eyes,2
acidiy,2
knee pain low back pain,2
peripheral neuropathy + weakness,2
headavhe,2
cold for 10 days,2
taenisis,2
fungal infection since 3months,2
itching over the hip,2
bodyache  cause,2
typhoid on investigation,2
cold (on medication ),2
low back ache x 1 week no trauma,2
mouth ulcer urti,2
pregnancy -3 months,2
headache dizziness weakness,2
myalgia + taenia corporis,2
known renal calculus,2
back pain [injury],2
toothache - cavity,2
left foot littile finger ulcer,2
common cold since 4days,2
known case of hypertension on rx,2
polycythemia,2
lba since 6days,2
infected rashes,2
right shoulder pain cause,2
ringworm+ acute sinusitis,2
gastritis  scabies,2
boils in head,2
gastroentyeritsi,2
wants to concieve,2
cold( on treatment),2
anorexia for 2 months,2
palpitations after taking alcohol,2
low back pain 2 years,2
carbuncle (nose ),2
superficial burn,2
left leg pain due to fall,2
headache - refractory error,2
weakness  eye pain,2
6 months of pregnancy,2
weakness( marginally low hb in last checkup+ weight 90+)normal thyroid profile,2
gen body swelling,2
no  smoking,2
low back pain cough,2
injury in foot,2
rash over the foot,2
lba since 2months,2
wt--17kg,2
wound in neck,2
hemorrhoids',2
history of trauma 2 years ago,2
gastritis+ ringworm,2
dry cough since,2
loose motion since 10days,2
weaknes since 1 month,2
upper respiratory tract infection c weakness c myopia,2
weakness headche,2
bp--112,2
headache  lba,2
skin problem since 1 week,2
retinopathy,2
irritability,2
urti x 1d,2
complains of fever,2
cough weakness knee pain,2
diarrhea - 2 days,2
chest pain -muscle pull,2
itching only on face,2
itchy dermatitis all over body,2
o accidental fall 2 days back,2
weakness  and. k,2
swelling in the feet due to cold,2
watering of the eyes,2
back pain  white discharge,2
pain in one hand,2
pregnant at 7month,2
feevr cough cold,2
thyroid disorder (on regular medication),2
cold-,2
2 cracked heels,2
bledding,2
amenorrhoea[1 year],2
stomach swelling,2
l joint pain,2
since 1 months,2
ffe,2
deltoid region pain,2
chest wall pain due to injury,2
no nausea or vomiting,2
eye issues,2
sprain in left leg,2
sin pruritis,2
skin lesion b,2
cough - 6 month,2
numbness of shoulder,2
leucorrhoea c weakness c backache  c anorexia,2
numbness of left hand,2
melsama,2
left leg  pain,2
knee pain.lba,2
as on 1,2
lmp: 20-2-24,2
vomiting since 10days,2
ring worm infection - back,2
runny nose 1 wk,2
1 elbow pain,2
cervical spine arthralgia,2
oily skin,2
lumbago  c weakness c anorexia,2
swelling - sprain,2
dyspnea on rest,2
blackout,2
white spots over face.,2
resolving b,2
body pain; weakness,2
weakness - pregnancy,2
itching on both legs since 5 days,2
allergies rhinitis,2
burning micturiation,2
shortness of breath since 10days,2
weakness c anorexia c headache,2
chestpain under evaluation,2
myalgia cold,2
backache  cough,2
swelling on back,2
rash in thigh,2
resolving,2
amenorrhoea for evaluation,2
bckpain leg pain,2
headache vertigo back pain,2
rt leg pain -  myalgia  cause,2
back pain+dry cough,2
(bp app not functional),2
fever since today morning,2
hedache weakness,2
1st degree burn,2
irregular menstrual cycle under evaluation,2
meniscus tear,2
cold since 1,2
backache radiating to left lowerlimb,2
o appendicitis,2
upper respiratory tract infection c weakness age 10 yr,2
knee pain bilat x 5 m,2
t2dm on irregular medications. uncontrolled sugar levels,2
loss of apetite since 5 days,2
h--irregular menstrual cycles,2
occasional headache+,2
leucorrhoea 8 months,2
pain on cheek,2
bodypaib,2
weakness since 2 years,2
86 mm of hg,2
generalized body edema,2
skin infection itching,2
hand skin itching,2
hypotension ',2
oral ulcers since 5 days,2
generalised body pain on exertion,2
genera;ised bodyache+,2
itching both foot,2
recently diagnosed weith hypertension,2
skin lesion(heat burn),2
atypical chest pain (h,2
gall stone disease,2
o fracture a year ago,2
hypertension(144,2
scabies having burning sensation after applying ascabiol lotion,2
hyperpigmentation over face region under evaluation,2
ringworm on abdomen,2
bone tb,2
subconjunctival hemorrhage,2
all family members are affected,2
pain right abdomen,2
rhinitis since 3days,2
ulcers over mouth,2
small uterine fibroids,2
pain in rt leg since 4 days,2
throat itching,2
myalgia menorraghia,2
black sputum,2
weakness (post viral fever),2
no dandruff,2
giddiness since 1 week,2
cough fever since 3 days,2
cough  cold weakness,2
amenorrhea since 9 months,2
wrist pain following injury,2
2 month amenorrhea,2
slow increase in height,2
dizziness since 4days,2
skin itching at times,2
cold ( dry ),2
pus formation,2
menorrhagia since 5 months,2
leg pain eye problem,2
gastritis  increase in weight,2
hypotension weakness gastritis,2
weakness fever body pain',2
pt age is 47 y,2
myalgia [onn,2
large joint arthralgia,2
leg pain backpain,2
lbasudden onset,2
abdomoinal pain,2
itching - on off,2
itching in the scalp,2
boil in leg,2
low bp - weakness,2
loose motion  vomiting  pain abdomen,2
hiv +ve,2
oa of right knee,2
hypothyroidism- discontinued medication,2
stoamch pain,2
fever cough pain body,2
abdominal obesity,2
skin injury,2
pain hand nd cough,2
kneepain(truama),2
weakness( pregnant),2
face skin problem,2
redness+,2
ringworm foot,2
myalgia -back ache,2
loss of appetite since 6 month,2
throat pain fever,2
breathing issue,2
fever - follow up,2
otitis media of both ear,2
low back ache x 8 d,2
vagnitis,2
pain in left leg  injury,2
rashes in hand,2
o irregular period,2
body pain. gastritis,2
weak nails,2
pain back n  leg,2
heeadache,2
leucorrhoea since 8 days,2
heel cracking,2
leucorrhoea c weakness c backache c anemia,2
tingling sens. in foot,2
near-vision problem,2
rash lower back,2
headache vomiting dizziness,2
scabies since 1month,2
itching over body since 7 months,2
bleeding while coughing,2
t. capitis,2
knee fracture,2
low platelet counts,2
since 4 days+,2
k) thyroid disordr,2
pain in upper limbs,2
hypothyroidism - since 2 month,2
anc:4 months pregnant,2
lower back pain since 1 week,2
o alcohol intake,2
gernalised anasarca,2
chest wall,2
leucorrhoea  pain abdomen,2
shortness of breath since 1 month,2
mouth infection,2
lrti - on rx,2
cold allergies,2
other skin infection,2
ckd on dialysis,2
o injury yesterday,2
paracetamol),2
pain in right elbow joint,2
worried about obesity,2
constipation  gas  pain abdomen,2
acidity cold,2
fever n myalgia since 2 days,2
low back ache x 5 y no trauma,2
urti-resolving,2
avoid.,2
o fall from bed,2
hyper pigmentation of face,2
similar history in another family member,2
periorbital edema,2
a2--1yr back. m,2
hypopigmentation due to sun exposure,2
erythema,2
pain per abdomen,2
acute mastoiditis under evaluation,2
rashes in body,2
tesnsion headache,2
dizziness-vertigo,2
p3l1d2,2
itching fungal infection,2
sleeplessness since 1month,2
loss off appetite,2
5 month of gestation,2
irritant dermatitis in soles---chronic,2
known dm on siddha medications,2
allergey,2
o fall 8 d back,2
weakness c anorexia c bodyache c hypotension c anemia,2
89,2
acidity since,2
pain weakness gas,2
known case of thyroid disorder on rx,2
skin infection since 1 month,2
referring to near by hospital,2
fever generalised weakness,2
pain body since 5 days,2
l palm,2
72 on medication,2
indigestion acidity,2
leucorrhea ear pain,2
brain tumor,2
right knee joint,2
miliria rubis,2
baackpain,2
gastritis weakness decrease appetite,2
post viral infection myalgia,2
skin peoblem,2
skin problem tinea,2
headache since 7 days,2
cough cold abdominal pain,2
neurological pain,2
menoprrhagia,2
pain body weakness cold,2
hand pain[h,2
epistaxis since 5 days,2
headache since 2yrs,2
79 on medication,2
low grade fever since 1month,2
headache weqkness,2
rashes on forehead,2
vision normal,2
left lumbar pain,2
knee pain c indigestion c weakness,2
chest pain for evluation,2
conjuctuvitis,2
swelling on eyes,2
muscular pain in chest,2
fever cough an cold,2
weakness acne,2
eye discharge since 1 year,2
hand pain swelling,2
fungal infection of hair,2
tingling of fingers,2
pain ineye,2
lower back pian,2
skin condition,2
pain in stitch area,2
wearing,2
left leg weakness,2
shoulder.,2
chronic dysmenorrhea,2
paina abdomen,2
cramps legs,2
giddiness',2
muscoskeletal pain,2
itching on eye lids,2
wound in scalp,2
cold (on,2
scabies + cough,2
hot flushes in both feet,2
cough chest  pain,2
flank,2
abdominal infection,2
viral infection - cold,2
cough - occasionally,2
bodypian weakness,2
lcb--8months,2
cough x20d,2
backache-1 week,2
viral infection (breast feeding female),2
knee pain c bodyache c weakness due to anemia,2
shorthness of breath,2
raised bp  not on rx,2
boay pain,2
backache fever cough,2
headache after injury,2
lower pain abdomen under evaluation,2
no medication taken,2
right side knee pain,2
cramps in calf muscles,2
post-viral myalgia,2
anaemia hypotension d3 deficiency,2
5ma,2
dry cracked heels,2
l  shoulder  pain,2
urticaria over the neck,2
pt is allergic to medicine,2
tb patient,2
sorethroat since 3 days,2
1 eye itching,2
burn injury on finger,2
decreased hearing in rt ear,2
ottis media,2
cough since 2months after an episode of fever,2
headache post trauma,2
acidity dizziness,2
low backache - since few month,2
no toothache,2
lice infestation,2
headache x 8 y h,2
intestinal inflammation,2
hypertension -151,2
pulmonary tb,2
was informed about hypotension,2
fever coigh,2
backness,2
weakness n fungal infection,2
2023),2
fever 2 months,2
body itch,2
chest pain 5 days,2
hypotension weakness headache,2
clavicle pain,2
weakness polymennorhoea,2
name not known,2
o refractive errors,2
sputum  for 4 days,2
periphereal neuropathy,2
abdomin pain,2
tingling sensation of bilateral limbs,2
no new symptoms,2
left shoulder pain (previous injury),2
post traumatic right shoulder pain,2
left hand pain post injury,2
right eye infection,2
hyperuricemia under evaluation,2
migraine on medication,2
fever  leg pain,2
rt elbow,2
bodypain since 3days,2
headache - eye problem,2
mild cough since 3days,2
myalgia for 1 week,2
gastritis cough cold,2
dry cough for  10 days,2
fever (off,2
shoulder pain ( h,2
7ma,2
shortness of breath cause,2
painful breast lump,2
kneepain- after injury,2
resp distress during cough,2
o injury 5 days back,2
hypopigmented patches in face,2
itching (fungal ),2
knee pain h,2
hyper tension,2
rhinitis (allergic),2
92,2
swelling in left leg.,2
eye pain ( b,2
oligomenorrohea,2
ance,2
rt elbow pain - h,2
stomach pain since 2days,2
hand pain ( h,2
post menopause,2
itching over left leg.,2
itching  skin,2
o hypertension (on medication),2
shoulder pain-  injury,2
expectoration for 5 days,2
allergic airway disease c weakness,2
lump on breast,2
itching all over+,2
hypothyroidism - since 5 year,2
injury over foot,2
on cardiac medications,2
pain back  nknee  cough,2
l parotitis,2
tingling sensation in legs since 6days,2
bodypain since 1year,2
problem in swallowing,2
taken antibiotics,2
chest pain 1 months,2
low back che,2
injury 15 days back,2
post hysterectomy status - generalized fatigue,2
chronic ear pain,2
nackpain,2
pt is k,2
injury 1week back,2
nausea since one month,2
already on outside medication,2
loose  motion  pain  abdomen,2
gastritis  since 1 week,2
fall 1 month back+,2
leucorrhea + constipation,2
cough cold headache since 3 days,2
fever cold cough since 10 days,2
numbness over right leg,2
stomach pain since 8 days,2
knee pain  left side,2
htn on irr rx,2
pain weakness itching,2
boil in the nose,2
sore,2
chest pain back pain,2
wound due to trauma,2
shouler pain,2
73 mm of hg,2
generalized joint pain (essential nutrient deficiency),2
bodypainand weakness,2
hypertension(bp 155,2
has allergy to some medicines,2
photo shows dry skin,2
trembling of hands,2
sprain in right ankle,2
body ache  weakness,2
back pain' gastritis,2
fissure in the heels,2
urtia,2
stomach abdomen,2
c smoking,2
allergic skin reactions,2
chest pain  ( occasional),2
cough non productive in nature,2
headache --- frequent since 1yr,2
nyctalopia,2
rt eye redness,2
weakness post miscarriage,2
73),2
pain over planter surface of both foot,2
chemotherapy,2
hand joint pains,2
100 on no medication,2
fever 2wk,2
ganglionic cyst,2
hemorrhoids (bleeding ),2
poor distance vision,2
pain in right leg  injury,2
9 month anc,2
and body ache,2
lap for evlauation,2
ear tingling,2
cold cough headache since 10 days,2
vomiitng,2
superadded infection,2
pain in abdomen under evaluation,2
rhinitis since 1month,2
pain lt elbow,2
legs since 5 days,2
ear discharge ringworm,2
fever 5d,2
varicose veins of lower extremities,2
fracture wrist,2
repetitive episodes of prurigo simplex,2
pain in abdomen  for 5 months,2
head injury (before one year),2
hypertension ( on regular medication),2
genralised bodyache,2
discharge from ears,2
leg cramp on medication,2
lba [ injury  ],2
heat sickness,2
hypopigmentation over back,2
adenoids,2
dry skin +,2
kbee arthropathy,2
itching over back+,2
itching in left ear,2
skin itching over hand,2
since 1 yr,2
t2dm on t,2
fever  pain  abdomen,2
wound  in leg,2
pain abdomen (right side),2
sprain of foot,2
fever conjuctivitis,2
right ear csom,2
pregnant 3rd month,2
toothache since 2days,2
difficult micturation,2
1 episode of vomiting,2
9 month of pog,2
leucorrhea pelvic pain,2
allergic rashes over legs,2
gastritis leg pain weakness,2
leg pain after injury 5 days back,2
developmental disorder,2
o bronchial asthma,2
eye dicharge,2
backache joint pain,2
rt. hand pain (h,2
numbness of finger,2
low bp[ anemia],2
skin allergie,2
bodypain weaknees,2
bodyache weakness gastritis,2
itching both ears,2
weaknessheadache,2
hweadache,2
leg pain menstrual irregularity,2
diaper dermatitis,2
redness in both eye,2
hypertension cough,2
miliaria pustulosa,2
discharge since 2 months,2
dry cough c weakness,2
back pain' acidity,2
headacheweakness,2
weakness back pain' gas,2
bilat hand pain,2
and bodyache,2
dyspnoea since 5 days,2
85 on medication,2
consipaion,2
l shoulders,2
scalp lesion,2
headache  8 days,2
gastritis+ hypotension,2
right wrist  pain,2
o psoriasis,2
fits,2
leg pain varicose veins,2
productive cough since 5 months,2
sputum for afb negative,2
submandibular swelling,2
pain abdomen since 10 days,2
pain in both feets,2
body ache since 5 days,2
3 mths amenorrhea,2
cut between toes,2
both ear discharge,2
c deficiency,2
secondary subfertility,2
leg cut injury,2
swelling of extremities,2
cough productive x 15 days,2
lcb--2months,2
hand redness,2
right leg spasm,2
buring micturition,2
pain in body since 4days,2
skin problem since 5years,2
eczematous lesion on b,2
headache after head injury,2
allergies to unspecified medicines***,2
lo2er back pain,2
since 10 days,2
joint pain oa,2
abdominal gas,2
pain since then,2
out sputum,2
o blurring of vision,2
o lscs 2 months back,2
knee pain - since  few month,2
anxiety n low bp,2
body pain  since 6 day,2
l sole pain,2
itchy lesion over back,2
wound on leg.,2
breast pain under evaluation,2
urti since 7days,2
pain abodmen,2
excessive lacrimation,2
swelling since 2 days,2
30,2
polyarthirits,2
pt is in her 1st trimester of pregnancy,2
feet tingling sensation,2
knee pain low back ache,2
leucorrhea since 4days,2
bodyache c weakness due to  anemia,2
abdominal pain h,2
o injury 3 days],2
arthralgia rt hand weakness,2
rt leg pain c weakness,2
back pain on medication,2
rt foot thumb pain,2
polyarthalgia n cough,2
fever since 3 days weakness,2
cough - cold,2
fever since 1months,2
patient have history of htn since 1 year,2
family history+,2
low back ache 1 y no trauma,2
borderline htn -145,2
falaria,2
headache 3 m no trauma,2
body pain pain in abdomen,2
myalga,2
straining,2
pt is widal positive,2
non -bleeding heamorroids,2
cola,2
fever-6 days,2
faltulence,2
dermatatis,2
high b p,2
backache since 10 days,2
malaise c anemia,2
injury previous,2
cough since 3days after an episode of fever,2
left shoulder pain.,2
lmp - 12,2
nail dermatitis,2
htn not on drug,2
lba [ weaknesss ],2
allergy since 5 days,2
pain in r ankle,2
cough acidity chest pain,2
joint pain tingling sensation,2
microcytic anemia,2
giddiness +,2
dyspnoea since 4 days,2
advise regarding weight reduction,2
o fever. wt--10kg,2
toooth ache,2
knee pain  fall down,2
wewkness,2
accelerated shtn,2
leucorrhea since 4 days,2
arthritis - right shoulder,2
history of head injury,2
alergic dermititis,2
rt hand pain - h,2
knee oa b,2
epiphora (right eye),2
body pain' anorexia,2
